Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
381,David Nugent,eng ENG,FW,Middlesbrough,31,1985,4,0,43,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f9b5e5bd
382,Allan Nyom,cm CMR,DF,West Brom,28,1988,32,29,2638,29.3,0.00,0.03,0.03,0.00,0.00,0.00,0.27,0.00,0.00,0.03,0.03,0.00,0.03,Matches,97572117
383,Aiden O'Neill,au AUS,MF,Burnley,18,1998,3,0,85,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c7aee75b
384,John O'Shea,ie IRL,DF,Sunderland,35,1981,28,26,2158,24.0,0.00,0.04,0.04,0.00,0.00,0.00,0.21,0.00,0.00,0.04,0.04,0.00,0.04,Matches,7c1f4685
385,Pedro Obiang,gq EQG,MF,West Ham,24,1992,22,21,1763,19.6,0.05,0.05,0.10,0.05,0.00,0.00,0.36,0.00,0.05,0.05,0.10,0.05,0.10,Matches,ba1e04b3
386,Angelo Ogbonna,it ITA,DF,West Ham,28,1988,20,20,1755,19.5,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,Matches,74b2cd7e
387,Stefano Okaka,it ITA,FW,Watford,26,1989,19,10,958,10.6,0.38,0.09,0.47,0.38,0.00,0.00,0.47,0.00,0.38,0.09,0.47,0.38,0.47,Matches,601ef102
388,Shinji Okazaki,jp JPN,FWMF,Leicester City,30,1986,30,21,1565,17.4,0.17,0.06,0.23,0.17,0.00,0.00,0.06,0.00,0.17,0.06,0.23,0.17,0.23,Matches,68796d61
389,Jonas Olsson,se SWE,DF,West Brom,33,1983,7,7,590,6.6,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,Matches,48844a9b
390,Martin Olsson,se SWE,DF,Swansea City,28,1988,15,14,1252,13.9,0.14,0.00,0.14,0.14,0.00,0.00,0.14,0.00,0.14,0.00,0.14,0.14,0.14,Matches,2f72f79e
391,Josh Onomah,eng ENG,FWMF,Tottenham,19,1997,5,0,22,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6612cd8c
392,Divock Origi,be BEL,FW,Liverpool,21,1995,34,14,1468,16.3,0.43,0.18,0.61,0.43,0.00,0.00,0.00,0.00,0.43,0.18,0.61,0.43,0.61,Matches,43a166b4
393,Oscar,br BRA,MF,Chelsea,24,1991,9,5,455,5.1,0.00,0.20,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.20,0.00,0.20,Matches,57fe98dd
394,David Ospina,co COL,GK,Arsenal,27,1988,2,1,143,1.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,82b1198a
395,Nicolás Otamendi,ar ARG,DF,Manchester City,28,1988,30,29,2592,28.8,0.03,0.00,0.03,0.03,0.00,0.00,0.31,0.00,0.03,0.00,0.03,0.03,0.03,Matches,0d267745
396,Bryan Oviedo,cr CRC,DFMF,Sunderland,26,1990,10,10,848,9.4,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,Matches,31faf295
397,Bryan Oviedo,cr CRC,DF,Everton,26,1990,6,6,475,5.3,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,Matches,31faf295
398,Alex Oxlade-Chamberlain,eng ENG,MF,Arsenal,22,1993,29,16,1628,18.1,0.11,0.39,0.50,0.11,0.00,0.00,0.06,0.00,0.11,0.39,0.50,0.11,0.50,Matches,38c7feef
399,Mesut Özil,de GER,MF,Arsenal,27,1988,33,32,2841,31.6,0.25,0.32,0.57,0.25,0.00,0.00,0.06,0.00,0.25,0.32,0.57,0.25,0.57,Matches,16380240
400,Costel Pantilimon,ro ROU,GK,Watford,29,1987,2,0,83,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d24e154c
401,Gabriel Paulista,br BRA,DF,Arsenal,25,1990,19,15,1517,16.9,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b7ca5c51
402,Dimitri Payet,fr FRA,MFFW,West Ham,29,1987,18,17,1511,16.8,0.12,0.36,0.48,0.12,0.00,0.00,0.12,0.00,0.12,0.36,0.48,0.12,0.48,Matches,58ae47b2
403,Pedro,es ESP,FWMF,Chelsea,29,1987,35,26,2140,23.8,0.38,0.38,0.76,0.38,0.00,0.00,0.25,0.00,0.38,0.38,0.76,0.38,0.76,Matches,3ca7254a
404,Matthew Pennington,eng ENG,DF,Everton,21,1994,3,2,180,2.0,0.50,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.50,0.50,Matches,0ff967f7
405,Dion Pereira,eng ENG,MF,Watford,17,1999,2,0,25,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8aab04dc
406,Roberto Pereyra,ar ARG,MFFW,Watford,25,1991,13,12,1037,11.5,0.17,0.17,0.35,0.17,0.00,0.00,0.17,0.09,0.17,0.17,0.35,0.17,0.35,Matches,75f2c59f
407,Lucas Pérez,es ESP,MFFW,Arsenal,27,1988,11,2,272,3.0,0.33,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33,Matches,a300ac7e
408,Matt Phillips,sct SCO,MF,West Brom,25,1991,27,26,2181,24.2,0.17,0.33,0.50,0.17,0.00,0.00,0.08,0.00,0.17,0.33,0.50,0.17,0.50,Matches,7bb5f40e
409,Jordan Pickford,eng ENG,GK,Sunderland,22,1994,29,29,2610,29.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4806ec67
410,Jérémy Pied,fr FRA,DF,Southampton,27,1989,4,1,129,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a634b9d2
411,Steven Pienaar,za RSA,MFFW,Sunderland,34,1982,15,10,803,8.9,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.22,0.00,0.00,0.00,0.00,0.00,Matches,8056f6e6
412,Erik Pieters,nl NED,DFMF,Stoke City,27,1988,36,35,3151,35.0,0.00,0.03,0.03,0.00,0.00,0.00,0.14,0.00,0.00,0.03,0.03,0.00,0.03,Matches,1ef37668
413,Paul Pogba,fr FRA,MF,Manchester Utd,23,1993,30,29,2608,29.0,0.17,0.14,0.31,0.17,0.00,0.00,0.24,0.00,0.17,0.14,0.31,0.17,0.31,Matches,867239d3
414,Sebastian Prödl,at AUT,DF,Watford,29,1987,33,32,2769,30.8,0.03,0.03,0.06,0.03,0.00,0.00,0.36,0.06,0.03,0.03,0.07,0.03,0.07,Matches,f5e6d08d
415,Marc Pugh,eng ENG,MF,Bournemouth,29,1987,21,16,1328,14.8,0.14,0.14,0.27,0.14,0.00,0.00,0.07,0.00,0.14,0.14,0.27,0.14,0.27,Matches,9aacb284
416,Jason Puncheon,eng ENG,MF,Crystal Palace,30,1986,36,35,3091,34.3,0.00,0.15,0.15,0.00,0.00,0.00,0.26,0.00,0.00,0.15,0.15,0.00,0.15,Matches,fd3f57ce
417,Gastón Ramírez,uy URU,MFFW,Middlesbrough,25,1990,24,20,1540,17.1,0.12,0.18,0.29,0.12,0.00,0.00,0.53,0.12,0.12,0.18,0.29,0.12,0.29,Matches,2c851997
418,Aaron Ramsey,wls WAL,MF,Arsenal,25,1990,23,13,1236,13.7,0.07,0.29,0.36,0.07,0.00,0.00,0.22,0.00,0.07,0.29,0.36,0.07,0.36,Matches,ef619b0b
419,Darren Randolph,ie IRL,GK,West Ham,29,1987,22,22,1980,22.0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6385ebfb
420,Àngel Rangel,es ESP,DF,Swansea City,33,1982,18,8,831,9.2,0.11,0.00,0.11,0.11,0.00,0.00,0.11,0.00,0.11,0.00,0.11,0.11,0.11,Matches,93ee387c
421,Andrea Ranocchia,it ITA,DF,Hull City,28,1988,16,15,1330,14.8,0.14,0.14,0.27,0.14,0.00,0.00,0.14,0.00,0.14,0.14,0.27,0.14,0.27,Matches,539230cf
422,Marcus Rashford,eng ENG,FWMF,Manchester Utd,18,1997,32,16,1710,19.0,0.26,0.05,0.32,0.26,0.00,0.00,0.16,0.00,0.26,0.05,0.32,0.26,0.32,Matches,a1d5bd30
423,Nathan Redmond,eng ENG,FWMF,Southampton,22,1994,37,32,2899,32.2,0.22,0.03,0.25,0.22,0.00,0.00,0.06,0.03,0.22,0.03,0.25,0.22,0.25,Matches,ab651565
424,Harrison Reed,eng ENG,MF,Southampton,21,1995,3,1,64,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,803ae100
425,Winston Reid,nz NZL,DF,West Ham,28,1988,30,30,2587,28.7,0.07,0.03,0.10,0.07,0.00,0.00,0.31,0.07,0.07,0.03,0.10,0.07,0.10,Matches,562eed5c
426,Loïc Rémy,fr FRA,FW,Crystal Palace,29,1987,5,1,134,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5c2da10f
427,Jordan Rhodes,sct SCO,FW,Middlesbrough,26,1990,6,2,211,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3b8b641c
428,Declan Rice,eng ENG,DFMF,West Ham,17,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1c7012b8
429,Andrew Robertson,sct SCO,DFMF,Hull City,22,1994,33,31,2736,30.4,0.03,0.07,0.10,0.03,0.00,0.00,0.16,0.00,0.03,0.07,0.10,0.03,0.10,Matches,2e4f5f03
430,Paul Robinson,eng ENG,GK,Burnley,36,1979,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3515ba56
431,Joel Robles,es ESP,GK,Everton,26,1990,20,19,1737,19.3,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cda0b317
432,Hal Robson-Kanu,wls WAL,FW,West Brom,27,1989,29,5,701,7.8,0.38,0.26,0.64,0.38,0.00,0.00,0.38,0.00,0.39,0.26,0.64,0.39,0.64,Matches,fb2dec57
433,Jay Rodriguez,eng ENG,FW,Southampton,27,1989,24,9,892,9.9,0.51,0.20,0.71,0.51,0.00,0.00,0.00,0.00,0.50,0.20,0.71,0.50,0.71,Matches,4ab53cdb
434,Jack Rodwell,eng ENG,MF,Sunderland,25,1991,20,17,1492,16.6,0.00,0.06,0.06,0.00,0.00,0.00,0.24,0.00,0.00,0.06,0.06,0.00,0.06,Matches,a07579ee
435,Marcos Rojo,ar ARG,DF,Manchester Utd,26,1990,21,18,1663,18.5,0.05,0.00,0.05,0.05,0.00,0.00,0.27,0.00,0.05,0.00,0.05,0.05,0.05,Matches,e0991c04
436,Sergio Romero,ar ARG,GK,Manchester Utd,29,1987,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1e26e376
437,Oriol Romeu,es ESP,MF,Southampton,24,1991,35,35,3071,34.1,0.03,0.00,0.03,0.03,0.00,0.00,0.32,0.00,0.03,0.00,0.03,0.03,0.03,Matches,4b511457
438,Salomón Rondón,ve VEN,FW,West Brom,26,1989,38,32,2891,32.1,0.25,0.06,0.31,0.25,0.00,0.00,0.06,0.00,0.25,0.06,0.31,0.25,0.31,Matches,b318a643
439,Marten de Roon,nl NED,MF,Middlesbrough,25,1991,33,32,2773,30.8,0.13,0.00,0.13,0.13,0.00,0.00,0.26,0.00,0.13,0.00,0.13,0.13,0.13,Matches,2a1beb34
440,Wayne Rooney,eng ENG,MFFW,Manchester Utd,30,1985,25,15,1539,17.1,0.29,0.29,0.58,0.23,0.06,0.06,0.47,0.00,0.29,0.29,0.58,0.23,0.53,Matches,f07be45a
441,Danny Rose,eng ENG,DFMF,Tottenham,26,1990,18,18,1530,17.0,0.12,0.12,0.24,0.12,0.00,0.00,0.47,0.00,0.12,0.12,0.24,0.12,0.24,Matches,89d10e53
442,Wayne Routledge,eng ENG,FWMF,Swansea City,31,1985,27,24,1922,21.4,0.14,0.05,0.19,0.14,0.00,0.00,0.05,0.00,0.14,0.05,0.19,0.14,0.19,Matches,1d387eee
443,Bacary Sagna,fr FRA,DF,Manchester City,33,1983,17,14,1346,15.0,0.00,0.07,0.07,0.00,0.00,0.00,0.13,0.00,0.00,0.07,0.07,0.00,0.07,Matches,6ef56efd
444,Diafra Sakho,sn SEN,FW,West Ham,26,1989,4,2,181,2.0,0.50,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.50,0.50,Matches,57c433c8
445,Mamadou Sakho,fr FRA,DF,Crystal Palace,26,1990,8,8,686,7.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,87935cf3
446,Bakary Sako,ml MLI,FWMF,Crystal Palace,28,1988,7,0,142,1.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,381d7d54
447,Alexis Sánchez,cl CHI,FWMF,Arsenal,27,1988,38,36,3217,35.7,0.67,0.28,0.95,0.62,0.06,0.08,0.17,0.00,0.67,0.28,0.95,0.62,0.90,Matches,2c0f8e9e
448,Leroy Sané,de GER,MFFW,Manchester City,20,1996,26,20,1781,19.8,0.25,0.10,0.35,0.25,0.00,0.00,0.20,0.00,0.25,0.10,0.35,0.25,0.35,Matches,2b114be3
449,Jeffrey Schlupp,gh GHA,DF,Crystal Palace,23,1992,15,11,998,11.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3312f911
450,Jeffrey Schlupp,gh GHA,MF,Leicester City,23,1992,4,1,141,1.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3312f911
451,Kasper Schmeichel,dk DEN,GK,Leicester City,29,1986,30,30,2666,29.6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,Matches,53af52f3
452,Morgan Schneiderlin,fr FRA,MF,Manchester Utd,26,1989,3,0,14,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,51b41c5c
453,Morgan Schneiderlin,fr FRA,MF,Everton,26,1989,14,12,1059,11.8,0.08,0.00,0.08,0.08,0.00,0.00,0.17,0.00,0.08,0.00,0.08,0.08,0.08,Matches,51b41c5c
454,Xherdan Shaqiri,ch SUI,MF,Stoke City,24,1991,21,21,1698,18.9,0.21,0.11,0.32,0.21,0.00,0.00,0.11,0.00,0.21,0.11,0.32,0.21,0.32,Matches,6421ec64
455,Luke Shaw,eng ENG,DF,Manchester Utd,21,1995,11,9,688,7.6,0.00,0.13,0.13,0.00,0.00,0.00,0.13,0.00,0.00,0.13,0.13,0.00,0.13,Matches,9c94165b
456,Ryan Shawcross,eng ENG,DF,Stoke City,28,1987,35,35,3150,35.0,0.03,0.03,0.06,0.03,0.00,0.00,0.17,0.00,0.03,0.03,0.06,0.03,0.06,Matches,285a3d44
457,Gylfi Sigurðsson,is ISL,FWMF,Swansea City,26,1989,38,37,3327,37.0,0.24,0.35,0.59,0.16,0.08,0.08,0.05,0.00,0.24,0.35,0.60,0.16,0.51,Matches,76dd1480
458,David Silva,es ESP,MF,Manchester City,30,1986,34,31,2759,30.7,0.13,0.23,0.36,0.13,0.00,0.00,0.20,0.00,0.13,0.23,0.36,0.13,0.36,Matches,e2716bd0
459,Danny Simpson,eng ENG,DF,Leicester City,29,1987,35,34,2988,33.2,0.00,0.03,0.03,0.00,0.00,0.00,0.36,0.00,0.00,0.03,0.03,0.00,0.03,Matches,3201b03d
460,Josh Sims,eng ENG,FW,Southampton,19,1997,7,1,211,2.3,0.00,0.43,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.43,0.00,0.43,Matches,6d6f09dc
461,Jerome Sinclair,eng ENG,FW,Watford,19,1996,5,1,116,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1695c659
462,Moussa Sissoko,fr FRA,MFFW,Tottenham,26,1989,25,8,911,10.1,0.00,0.20,0.20,0.00,0.00,0.00,0.30,0.00,0.00,0.20,0.20,0.00,0.20,Matches,2acd49b9
463,Islam Slimani,dz ALG,FW,Leicester City,28,1988,23,13,1281,14.2,0.49,0.28,0.77,0.42,0.07,0.07,0.07,0.00,0.49,0.28,0.77,0.42,0.70,Matches,ffec9769
464,Chris Smalling,eng ENG,DF,Manchester Utd,26,1989,18,13,1217,13.5,0.07,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,b6964eb6
465,Adam Smith,eng ENG,DFMF,Bournemouth,25,1991,36,34,3079,34.2,0.03,0.15,0.18,0.03,0.00,0.00,0.18,0.00,0.03,0.15,0.18,0.03,0.18,Matches,20b104bc
466,Brad Smith,au AUS,DFMF,Bournemouth,22,1994,5,3,291,3.2,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c76c717c
467,Robert Snodgrass,sct SCO,MFFW,West Ham,28,1987,15,8,838,9.3,0.00,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21,Matches,9f4647e9
468,Robert Snodgrass,sct SCO,FWMF,Hull City,28,1987,20,19,1710,19.0,0.37,0.11,0.47,0.26,0.11,0.11,0.11,0.00,0.37,0.11,0.47,0.26,0.37,Matches,9f4647e9
469,Cédric Soares,pt POR,DF,Southampton,24,1991,30,30,2515,27.9,0.00,0.11,0.11,0.00,0.00,0.00,0.25,0.00,0.00,0.11,0.11,0.00,0.11,Matches,839c14e1
470,Ramadan Sobhi,eg EGY,MF,Stoke City,19,1997,17,8,854,9.5,0.00,0.11,0.11,0.00,0.00,0.00,0.21,0.00,0.00,0.11,0.11,0.00,0.11,Matches,98be0d02
471,Pape Souaré,sn SEN,DF,Crystal Palace,26,1990,3,3,269,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,46b5375e
472,Junior Stanislas,eng ENG,MF,Bournemouth,26,1989,21,18,1467,16.3,0.43,0.31,0.74,0.31,0.12,0.12,0.06,0.00,0.43,0.31,0.74,0.31,0.61,Matches,6992791d
473,Maarten Stekelenburg,nl NED,GK,Everton,33,1982,19,19,1683,18.7,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fefce889
474,Jack Stephens,eng ENG,DF,Southampton,22,1994,17,15,1471,16.3,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6adbc307
475,Raheem Sterling,eng ENG,MFFW,Manchester City,21,1994,33,29,2508,27.9,0.25,0.29,0.54,0.25,0.00,0.00,0.25,0.00,0.25,0.29,0.54,0.25,0.54,Matches,b400bde0
476,Kevin Stewart,jm JAM,DFMF,Liverpool,22,1993,4,0,20,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ff674795
477,John Stones,eng ENG,DF,Manchester City,22,1994,27,23,2014,22.4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5eecec3d
478,Cristhian Stuani,uy URU,FWMF,Middlesbrough,29,1986,23,16,1354,15.0,0.27,0.00,0.27,0.27,0.00,0.00,0.27,0.00,0.27,0.00,0.27,0.27,0.27,Matches,220c11f1
479,Daniel Sturridge,eng ENG,FW,Liverpool,26,1989,20,7,775,8.6,0.35,0.12,0.47,0.35,0.00,0.00,0.12,0.00,0.35,0.12,0.46,0.35,0.46,Matches,1b7ec703
480,Isaac Success,ng NGA,MF,Watford,20,1996,19,2,519,5.8,0.17,0.17,0.34,0.17,0.00,0.00,0.34,0.00,0.17,0.17,0.35,0.17,0.35,Matches,f573a8bf
481,Ki Sung-yueng,kr KOR,MF,Swansea City,27,1989,23,13,1291,14.3,0.00,0.07,0.07,0.00,0.00,0.00,0.21,0.00,0.00,0.07,0.07,0.00,0.07,Matches,1d8c99b0
482,Andrew Surman,eng ENG,MF,Bournemouth,29,1986,22,21,1801,20.0,0.00,0.05,0.05,0.00,0.00,0.00,0.10,0.10,0.00,0.05,0.05,0.00,0.05,Matches,7d41b619
483,Dušan Tadić,rs SRB,FWMF,Southampton,27,1988,33,30,2411,26.8,0.11,0.19,0.30,0.07,0.04,0.07,0.15,0.00,0.11,0.19,0.30,0.07,0.26,Matches,2475dcc6
484,Matt Targett,eng ENG,DF,Southampton,20,1995,5,5,373,4.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e514ab62
485,James Tarkowski,eng ENG,DF,Burnley,23,1992,19,4,568,6.3,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,Matches,15ea812b
486,Neil Taylor,wls WAL,DF,Swansea City,27,1989,11,11,920,10.2,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c2f9d19f
487,John Terry,eng ENG,DF,Chelsea,35,1980,9,6,496,5.5,0.18,0.00,0.18,0.18,0.00,0.00,0.18,0.00,0.18,0.00,0.18,0.18,0.18,Matches,68517cfd
488,James Tomkins,eng ENG,DF,Crystal Palace,27,1989,24,23,1974,21.9,0.14,0.00,0.14,0.14,0.00,0.00,0.18,0.00,0.14,0.00,0.14,0.14,0.14,Matches,e7ca0439
489,Gökhan Töre,tr TUR,MFFW,West Ham,24,1992,5,3,240,2.7,0.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.37,0.00,0.37,Matches,51960957
490,Yaya Touré,ci CIV,MF,Manchester City,33,1983,25,22,1941,21.6,0.23,0.00,0.23,0.14,0.09,0.09,0.19,0.00,0.23,0.00,0.23,0.14,0.14,Matches,c204f844
491,Andros Townsend,eng ENG,MF,Crystal Palace,25,1991,36,30,2519,28.0,0.11,0.14,0.25,0.11,0.00,0.00,0.14,0.00,0.11,0.14,0.25,0.11,0.25,Matches,b28bbd58
492,Adama Traoré,es ESP,MFFW,Middlesbrough,20,1996,27,16,1541,17.1,0.00,0.06,0.06,0.00,0.00,0.00,0.06,0.00,0.00,0.06,0.06,0.00,0.06,Matches,9a28eba4
493,Kieran Trippier,eng ENG,DFMF,Tottenham,25,1990,12,6,568,6.3,0.00,0.79,0.79,0.00,0.00,0.00,0.16,0.00,0.00,0.79,0.79,0.00,0.79,Matches,21512407
494,Axel Tuanzebe,eng ENG,MFDF,Manchester Utd,18,1997,4,4,303,3.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2baec6ce
495,Josh Tymon,eng ENG,MFDF,Hull City,17,1999,5,4,322,3.6,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,Matches,efe6f6ac
496,Leonardo Ulloa,ar ARG,FW,Leicester City,30,1986,16,3,447,5.0,0.20,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches,eed56f6c
497,Víctor Valdés,es ESP,GK,Middlesbrough,34,1982,28,28,2520,28.0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e029e404
498,Antonio Valencia,ec ECU,DF,Manchester Utd,30,1985,28,27,2483,27.6,0.04,0.11,0.14,0.04,0.00,0.00,0.18,0.00,0.04,0.11,0.14,0.04,0.14,Matches,08aa17d0
499,Enner Valencia,ec ECU,FW,West Ham,26,1989,3,3,211,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fb485406
500,Enner Valencia,ec ECU,FWMF,Everton,26,1989,21,5,716,8.0,0.38,0.13,0.50,0.38,0.00,0.00,0.13,0.00,0.38,0.13,0.50,0.38,0.50,Matches,fb485406
501,Virgil van Dijk,nl NED,DF,Southampton,25,1991,21,21,1853,20.6,0.05,0.00,0.05,0.05,0.00,0.00,0.19,0.10,0.05,0.00,0.05,0.05,0.05,Matches,e06683ca
502,Jamie Vardy,eng ENG,FW,Leicester City,29,1987,35,33,2802,31.1,0.42,0.13,0.55,0.42,0.00,0.00,0.06,0.03,0.42,0.13,0.55,0.42,0.55,Matches,45963054
503,Jan Vertonghen,be BEL,DF,Tottenham,29,1987,33,33,2894,32.2,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ba23a904
504,Sam Vokes,wls WAL,FW,Burnley,26,1989,37,21,2064,22.9,0.44,0.13,0.57,0.35,0.09,0.09,0.00,0.00,0.44,0.13,0.57,0.35,0.48,Matches,1d6ac165
505,Michel Vorm,nl NED,GK,Tottenham,32,1983,5,4,416,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1bebde9d
506,Matěj Vydra,cz CZE,FWMF,Watford,24,1992,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0d4ceb32
507,Theo Walcott,eng ENG,MF,Arsenal,27,1989,28,23,1916,21.3,0.47,0.09,0.56,0.47,0.00,0.05,0.05,0.00,0.47,0.09,0.56,0.47,0.56,Matches,1ecb65be
508,Kyle Walker,eng ENG,DFMF,Tottenham,26,1990,33,31,2701,30.0,0.00,0.17,0.17,0.00,0.00,0.00,0.27,0.00,0.00,0.17,0.17,0.00,0.17,Matches,86dd77d1
509,Jonathan Walters,ie IRL,FWMF,Stoke City,32,1983,23,13,1304,14.5,0.28,0.14,0.41,0.21,0.07,0.07,0.07,0.00,0.28,0.14,0.41,0.21,0.35,Matches,0356cf4f
510,Victor Wanyama,ke KEN,MF,Tottenham,25,1991,36,35,3012,33.5,0.12,0.03,0.15,0.12,0.00,0.00,0.30,0.00,0.12,0.03,0.15,0.12,0.15,Matches,e0900238
511,Joel Ward,eng ENG,DF,Crystal Palace,26,1989,38,38,3417,38.0,0.00,0.03,0.03,0.00,0.00,0.00,0.18,0.00,0.00,0.03,0.03,0.00,0.03,Matches,8a7ff278
512,Stephen Ward,ie IRL,DF,Burnley,30,1985,37,37,3230,35.9,0.03,0.03,0.06,0.03,0.00,0.00,0.14,0.00,0.03,0.03,0.06,0.03,0.06,Matches,3831b9fe
