Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
68,George Boyd,sct SCO,MF,Burnley,30,1985,36,33,2836,31.5,0.06,0.03,0.10,0.06,0.00,0.00,0.10,0.00,0.06,0.03,0.10,0.06,0.10,Matches,0a9048ce
69,Robbie Brady,ie IRL,MF,Burnley,24,1992,14,7,719,8.0,0.13,0.25,0.38,0.13,0.00,0.00,0.13,0.00,0.13,0.25,0.38,0.13,0.38,Matches,96bb8cc2
70,Claudio Bravo,cl CHI,GK,Manchester City,33,1983,22,22,1968,21.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,10072610
71,Miguel Britos,uy URU,DF,Watford,31,1985,27,27,2282,25.4,0.04,0.08,0.12,0.04,0.00,0.00,0.31,0.16,0.04,0.08,0.12,0.04,0.12,Matches,356a9a62
72,Leon Britton,eng ENG,MF,Swansea City,33,1982,16,16,1163,12.9,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b92dd711
73,Chris Brunt,nir NIR,MFDF,West Brom,31,1984,31,27,2477,27.5,0.11,0.15,0.25,0.11,0.00,0.00,0.18,0.00,0.11,0.15,0.25,0.11,0.25,Matches,ec7e6ad1
74,Jack Butland,eng ENG,GK,Stoke City,23,1993,5,5,450,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cc70a1d5
75,Sam Byram,eng ENG,DFMF,West Ham,22,1993,18,13,1249,13.9,0.00,0.07,0.07,0.00,0.00,0.00,0.43,0.14,0.00,0.07,0.07,0.00,0.07,Matches,1bf811d4
76,Willy Caballero,ar ARG,GK,Manchester City,34,1981,17,16,1452,16.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a179d516
77,Yohan Cabaye,fr FRA,MF,Crystal Palace,30,1986,32,25,2125,23.6,0.17,0.08,0.25,0.17,0.00,0.04,0.30,0.00,0.17,0.08,0.25,0.17,0.25,Matches,ad7b19ef
78,Martín Cáceres,uy URU,DF,Southampton,29,1987,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e94d79e3
79,Gary Cahill,eng ENG,DF,Chelsea,30,1985,37,36,3296,36.6,0.16,0.00,0.16,0.16,0.00,0.00,0.14,0.00,0.16,0.00,0.16,0.16,0.16,Matches,7914b9fe
80,Jonathan Calleri,ar ARG,FW,West Ham,22,1993,16,4,540,6.0,0.17,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches,6922f806
81,Dominic Calvert-Lewin,eng ENG,MFFW,Everton,19,1997,11,5,347,3.9,0.26,0.00,0.26,0.26,0.00,0.00,0.26,0.00,0.26,0.00,0.26,0.26,0.26,Matches,59e6e5bf
