Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
39,Borja Bastón,es ESP,MFFW,Aston Villa,26,1992,2,0,18,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8c44e37b
40,Michy Batshuayi,be BEL,FW,Chelsea,25,1993,16,1,239,2.7,0.37,0.37,0.74,0.37,0.00,0.00,0.00,0.00,0.89,0.89,0.07,0.96,2.96,0.37,8.15,0.38,0.38,0.75,0.38,0.75,0.92,0.06,0.98,0.92,0.98,Matches,2973d8ff
41,Jan Bednarek,pl POL,DF,Southampton,23,1996,34,34,3057,34.0,0.03,0.03,0.06,0.03,0.00,0.00,0.12,0.00,0.03,0.03,0.03,0.06,0.12,2.65,0.00,0.03,0.03,0.06,0.03,0.06,0.03,0.03,0.07,0.03,0.07,Matches,4115ce4e
42,Héctor Bellerín,es ESP,DFMF,Arsenal,24,1995,15,13,1158,12.9,0.08,0.00,0.08,0.08,0.00,0.00,0.16,0.00,0.03,0.03,0.03,0.06,2.64,4.50,5.43,0.08,0.00,0.08,0.08,0.08,0.03,0.03,0.06,0.03,0.06,Matches,f874dd44
43,Ryan Bennett,eng ENG,DF,Wolves,29,1990,11,7,606,6.7,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.01,0.01,0.01,0.01,0.45,2.54,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,0bad4516
44,Ryan Bennett,eng ENG,DF,Leicester City,29,1990,5,3,331,3.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,3.51,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0bad4516
45,Nabil Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,12,8,751,8.3,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.01,0.01,0.02,0.04,0.24,2.29,0.12,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,3189f61a
46,Christian Benteke,be BEL,FW,Crystal Palace,28,1990,24,13,1261,14.0,0.14,0.07,0.21,0.14,0.00,0.00,0.29,0.07,0.36,0.36,0.19,0.55,1.57,2.00,5.64,0.14,0.07,0.21,0.14,0.21,0.36,0.19,0.55,0.36,0.55,Matches,ab070c55
47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,28,1990,12,6,621,6.9,0.14,0.14,0.29,0.14,0.00,0.00,0.00,0.00,0.09,0.09,0.14,0.23,2.61,0.87,4.49,0.14,0.14,0.29,0.14,0.29,0.09,0.14,0.23,0.09,0.23,Matches,f72293fc
48,Sander Berge,no NOR,MF,Sheffield Utd,21,1998,14,12,943,10.5,0.10,0.10,0.19,0.10,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.12,1.71,4.95,3.33,0.10,0.10,0.19,0.10,0.19,0.06,0.06,0.12,0.06,0.12,Matches,d0b6129f
49,Steven Bergwijn,nl NED,FWMF,Tottenham,21,1997,14,8,704,7.8,0.38,0.13,0.51,0.38,0.00,0.00,0.26,0.00,0.13,0.13,0.12,0.24,3.08,1.54,6.41,0.38,0.13,0.51,0.38,0.51,0.13,0.11,0.25,0.13,0.25,Matches,a29b1131
50,Bernard,br BRA,MFFW,Everton,26,1992,27,15,1280,14.2,0.21,0.14,0.35,0.21,0.00,0.00,0.14,0.00,0.13,0.13,0.17,0.29,2.82,5.35,7.46,0.21,0.14,0.35,0.21,0.35,0.13,0.17,0.29,0.13,0.29,Matches,ab4b3e35
51,Bernardo,br BRA,DFMF,Brighton,24,1995,14,7,679,7.5,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.07,0.07,0.15,0.21,2.93,7.47,5.47,0.00,0.00,0.00,0.00,0.00,0.06,0.15,0.21,0.06,0.21,Matches,17370b95
52,Ryan Bertrand,eng ENG,DF,Southampton,29,1989,32,31,2742,30.5,0.03,0.03,0.07,0.03,0.00,0.00,0.10,0.03,0.06,0.06,0.11,0.17,2.56,4.26,4.39,0.03,0.03,0.07,0.03,0.07,0.06,0.11,0.17,0.06,0.17,Matches,01226327
53,Muhamed Bešić,ba BIH,MF,Sheffield Utd,26,1992,9,2,250,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.07,0.07,0.04,0.07,1.07,3.93,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.08,0.06,0.08,Matches,7ca9f0f0
54,Philip Billing,dk DEN,MF,Bournemouth,23,1996,34,29,2530,28.1,0.04,0.04,0.07,0.04,0.00,0.00,0.28,0.00,0.07,0.07,0.06,0.13,1.03,3.56,2.10,0.04,0.04,0.07,0.04,0.07,0.07,0.06,0.13,0.07,0.13,Matches,d328a254
55,Yves Bissouma,ml MLI,MF,Brighton,22,1996,22,15,1259,14.0,0.07,0.00,0.07,0.07,0.00,0.00,0.29,0.00,0.03,0.03,0.01,0.04,1.79,4.50,1.14,0.07,0.00,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04,Matches,6c203af0
56,Willy Boly,ci CIV,DF,Wolves,28,1991,22,22,1979,22.0,0.00,0.05,0.05,0.00,0.00,0.00,0.14,0.05,0.02,0.02,0.05,0.07,0.18,2.18,0.23,0.00,0.05,0.05,0.00,0.05,0.02,0.05,0.07,0.02,0.07,Matches,a4ac4b8f
57,Gaëtan Bong,cm CMR,DFMF,Brighton,31,1988,4,0,59,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,5.71,7.14,11.4,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.34,0.00,0.34,Matches,cfd5e123
58,Sofiane Boufal,ma MAR,MFFW,Southampton,25,1993,20,8,764,8.5,0.00,0.24,0.24,0.00,0.00,0.00,0.24,0.00,0.12,0.12,0.34,0.46,5.65,4.82,7.88,0.00,0.24,0.24,0.00,0.24,0.12,0.34,0.46,0.12,0.46,Matches,b0c71810
59,Jarrod Bowen,eng ENG,FWMF,West Ham,22,1996,13,11,917,10.2,0.10,0.39,0.49,0.10,0.00,0.00,0.00,0.00,0.23,0.23,0.26,0.49,3.24,1.86,7.84,0.10,0.39,0.49,0.10,0.49,0.22,0.27,0.49,0.22,0.49,Matches,79c84d1c
60,Robbie Brady,ie IRL,MF,Burnley,27,1992,17,5,454,5.0,0.20,0.40,0.60,0.20,0.00,0.00,0.20,0.00,0.22,0.22,0.08,0.30,1.00,4.00,4.60,0.20,0.40,0.59,0.20,0.59,0.22,0.07,0.29,0.22,0.29,Matches,96bb8cc2
61,Jarrad Branthwaite,eng ENG,DF,Everton,17,2002,4,2,300,3.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c1949191
62,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,4,3,347,3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,10072610
63,Armando Broja,al ALB,FW,Chelsea,17,2001,1,0,5,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,97220da2
64,David Brooks,wls WAL,MFFW,Bournemouth,22,1997,9,8,506,5.6,0.18,0.00,0.18,0.18,0.00,0.00,0.18,0.00,0.09,0.09,0.05,0.14,0.71,3.04,4.29,0.18,0.00,0.18,0.18,0.18,0.08,0.05,0.14,0.08,0.14,Matches,dc4cae05
65,Josh Brownhill,eng ENG,MF,Burnley,23,1995,10,9,805,8.9,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.06,0.06,0.01,0.08,0.22,2.25,1.69,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,47369df8
66,Emi Buendía,ar ARG,FWMF,Norwich City,22,1996,36,28,2464,27.4,0.04,0.26,0.29,0.04,0.00,0.00,0.22,0.04,0.08,0.08,0.25,0.33,2.48,7.08,3.87,0.04,0.26,0.29,0.04,0.29,0.08,0.25,0.33,0.08,0.33,Matches,66b76d44
67,Dan Burn,eng ENG,DF,Brighton,27,1992,34,33,2880,32.0,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.04,0.04,0.04,0.08,1.63,4.22,2.91,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches,b2d31e83
