Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
256,Moritz Leitner,de GER,MF,Norwich City,26,1992,9,7,685,7.6,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.04,0.04,0.04,0.08,2.24,8.16,3.03,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches,9460aaed
257,Florian Lejeune,fr FRA,DF,Newcastle Utd,28,1991,6,4,442,4.9,0.41,0.00,0.41,0.41,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.24,0.20,1.43,0.00,0.41,0.00,0.41,0.41,0.41,0.24,0.01,0.25,0.24,0.25,Matches,6eaed4eb
258,Aaron Lennon,eng ENG,MF,Burnley,32,1987,16,4,496,5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.00,0.00,0.00,0.02,0.04,2.00,1.27,3.27,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,Matches,2ff964a0
259,Bernd Leno,de GER,GK,Arsenal,27,1992,30,30,2649,29.4,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2628fd2b
260,Jefferson Lerma,co COL,MF,Bournemouth,24,1994,33,31,2703,30.0,0.03,0.07,0.10,0.03,0.00,0.00,0.43,0.03,0.04,0.04,0.05,0.09,0.53,4.57,0.43,0.03,0.07,0.10,0.03,0.10,0.04,0.05,0.09,0.04,0.09,Matches,9b5ce51a
261,Jamal Lewis,nir NIR,DF,Norwich City,21,1998,28,25,2304,25.6,0.04,0.00,0.04,0.04,0.00,0.00,0.16,0.00,0.02,0.02,0.04,0.05,3.91,2.89,4.14,0.04,0.00,0.04,0.04,0.04,0.01,0.04,0.05,0.01,0.05,Matches,efb9215a
262,Victor Lindelöf,se SWE,DF,Manchester Utd,25,1994,35,35,3092,34.4,0.03,0.00,0.03,0.03,0.00,0.00,0.17,0.00,0.01,0.01,0.01,0.02,0.47,3.23,0.09,0.03,0.00,0.03,0.03,0.03,0.01,0.01,0.02,0.01,0.02,Matches,f5deef4c
263,Jesse Lingard,eng ENG,MFFW,Manchester Utd,26,1992,22,9,935,10.4,0.10,0.00,0.10,0.10,0.00,0.00,0.29,0.00,0.18,0.18,0.10,0.28,2.69,4.33,7.02,0.10,0.00,0.10,0.10,0.10,0.18,0.09,0.28,0.18,0.28,Matches,810e3c74
264,Hugo Lloris,fr FRA,GK,Tottenham,32,1986,21,21,1807,20.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8f62b6ee
265,Giovani Lo Celso,ar ARG,MFFW,Tottenham,23,1996,28,15,1492,16.6,0.00,0.12,0.12,0.00,0.00,0.00,0.36,0.00,0.08,0.08,0.10,0.17,3.73,6.75,3.01,0.00,0.12,0.12,0.00,0.12,0.08,0.10,0.18,0.08,0.18,Matches,d7553721
266,Jürgen Locadia,nl NED,FWMF,Brighton,25,1993,2,1,86,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30,1.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27,Matches,6cc47ae1
267,Ruben Loftus-Cheek,eng ENG,MFFW,Chelsea,23,1996,7,2,208,2.3,0.00,0.43,0.43,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.17,0.39,1.74,6.52,4.78,0.00,0.43,0.43,0.00,0.43,0.21,0.18,0.39,0.21,0.39,Matches,e97fd090
268,Kevin Long,ie IRL,DF,Burnley,28,1990,8,6,564,6.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.00,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,5a4280b1
269,Shane Long,ie IRL,FW,Southampton,32,1987,26,15,1395,15.5,0.13,0.13,0.26,0.13,0.00,0.00,0.00,0.00,0.31,0.31,0.15,0.46,1.48,1.29,6.77,0.13,0.13,0.26,0.13,0.26,0.31,0.15,0.46,0.31,0.46,Matches,9f472354
270,Matthew Longstaff,eng ENG,MF,Newcastle Utd,19,2000,9,6,575,6.4,0.31,0.00,0.31,0.31,0.00,0.00,0.16,0.00,0.05,0.05,0.06,0.11,0.63,2.66,0.31,0.31,0.00,0.31,0.31,0.31,0.04,0.06,0.10,0.04,0.10,Matches,c0027d2d
271,Sean Longstaff,eng ENG,MF,Newcastle Utd,21,1997,23,14,1378,15.3,0.07,0.07,0.13,0.07,0.00,0.00,0.13,0.07,0.09,0.09,0.08,0.16,0.52,2.16,0.78,0.07,0.07,0.13,0.07,0.13,0.09,0.08,0.17,0.09,0.17,Matches,a2b105e0
272,Dejan Lovren,hr CRO,DF,Liverpool,30,1989,10,9,777,8.6,0.00,0.12,0.12,0.00,0.00,0.00,0.12,0.00,0.05,0.05,0.03,0.08,0.93,5.35,0.35,0.00,0.12,0.12,0.00,0.12,0.05,0.04,0.08,0.05,0.08,Matches,1a2935f6
273,Matthew Lowton,eng ENG,DF,Burnley,30,1989,17,17,1530,17.0,0.00,0.06,0.06,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.07,0.07,1.00,3.76,2.47,0.00,0.06,0.06,0.00,0.06,0.00,0.07,0.07,0.00,0.07,Matches,9a9c05db
274,David Luiz,br BRA,DF,Arsenal,32,1987,33,32,2809,31.2,0.06,0.03,0.10,0.06,0.00,0.00,0.16,0.06,0.05,0.05,0.03,0.08,0.67,3.40,0.13,0.06,0.03,0.10,0.06,0.10,0.05,0.03,0.08,0.05,0.08,Matches,c0e27d1a
275,Douglas Luiz,br BRA,MF,Aston Villa,21,1998,36,28,2612,29.0,0.10,0.07,0.17,0.10,0.00,0.00,0.28,0.00,0.09,0.09,0.06,0.14,1.21,4.93,1.59,0.10,0.07,0.17,0.10,0.17,0.09,0.06,0.15,0.09,0.15,Matches,6f7d826d
276,John Lundstram,eng ENG,MF,Sheffield Utd,25,1994,34,26,2458,27.3,0.18,0.11,0.29,0.18,0.00,0.00,0.18,0.00,0.19,0.19,0.12,0.32,1.32,4.47,4.07,0.18,0.11,0.29,0.18,0.29,0.19,0.12,0.32,0.19,0.32,Matches,0df2b165
277,Alexis Mac Allister,ar ARG,MFFW,Brighton,20,1998,9,4,352,3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.08,0.18,0.51,1.54,3.33,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.19,0.12,0.19,Matches,83d074ff
278,James Maddison,eng ENG,MF,Leicester City,22,1996,31,29,2624,29.2,0.21,0.10,0.31,0.21,0.00,0.00,0.14,0.00,0.18,0.18,0.22,0.40,1.82,6.58,4.73,0.21,0.10,0.31,0.21,0.31,0.18,0.22,0.40,0.18,0.40,Matches,ee38d9c5
279,Harry Maguire,eng ENG,DF,Manchester Utd,26,1993,38,38,3420,38.0,0.03,0.03,0.05,0.03,0.00,0.00,0.16,0.00,0.06,0.06,0.04,0.09,1.82,4.50,0.26,0.03,0.03,0.05,0.03,0.05,0.06,0.04,0.09,0.05,0.09,Matches,d8931174
280,Riyad Mahrez,dz ALG,FWMF,Manchester City,28,1991,33,21,1944,21.6,0.51,0.42,0.93,0.46,0.05,0.05,0.00,0.00,0.36,0.32,0.46,0.79,5.46,5.56,11.4,0.51,0.42,0.93,0.46,0.88,0.36,0.46,0.83,0.33,0.79,Matches,892d5bb1
281,Ainsley Maitland-Niles,eng ENG,DF,Arsenal,21,1997,20,15,1386,15.4,0.00,0.13,0.13,0.00,0.00,0.00,0.39,0.06,0.03,0.03,0.10,0.13,2.47,3.96,2.21,0.00,0.13,0.13,0.00,0.13,0.03,0.10,0.13,0.03,0.13,Matches,e3a5814e
282,Sadio Mané,sn SEN,FW,Liverpool,27,1992,35,31,2747,30.5,0.59,0.23,0.82,0.59,0.00,0.00,0.10,0.00,0.43,0.43,0.22,0.65,5.21,4.20,9.38,0.59,0.23,0.82,0.59,0.82,0.43,0.22,0.65,0.43,0.65,Matches,c691bfe2
283,Javier Manquillo,es ESP,DF,Newcastle Utd,25,1994,21,18,1599,17.8,0.00,0.06,0.06,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.01,0.02,1.24,1.57,2.75,0.00,0.06,0.06,0.00,0.06,0.00,0.01,0.02,0.00,0.02,Matches,758dd7f0
284,Solly March,eng ENG,FWMF,Brighton,25,1994,19,11,1143,12.7,0.00,0.08,0.08,0.00,0.00,0.00,0.16,0.00,0.11,0.11,0.07,0.18,3.94,4.33,8.82,0.00,0.08,0.08,0.00,0.08,0.11,0.07,0.18,0.11,0.18,Matches,bb5fbd2b
285,Pablo Marí,es ESP,DF,Arsenal,25,1993,2,2,113,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,aa54ec6f
286,Adrian Mariappa,jm JAM,DF,Watford,32,1986,20,15,1513,16.8,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.06,0.01,0.01,0.01,0.03,0.12,2.26,0.54,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches,8aa5f52c
287,Anthony Martial,fr FRA,FW,Manchester Utd,23,1995,32,31,2624,29.2,0.58,0.21,0.79,0.58,0.00,0.03,0.03,0.00,0.41,0.39,0.15,0.54,2.60,2.81,9.42,0.58,0.21,0.79,0.58,0.79,0.41,0.15,0.56,0.39,0.54,Matches,8b788c01
288,David Martin,eng ENG,GK,West Ham,33,1986,5,4,436,4.8,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,07666c20
289,Josh Martin,eng ENG,FWMF,Norwich City,17,2001,5,0,37,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,2.50,0.00,7.50,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches,3f072a68
290,Martinelli,br BRA,FW,Arsenal,18,2001,14,6,663,7.4,0.41,0.00,0.41,0.41,0.00,0.00,0.14,0.00,0.30,0.30,0.01,0.31,4.19,1.62,8.78,0.41,0.00,0.41,0.41,0.41,0.29,0.01,0.31,0.29,0.31,Matches,48a5a5d6
291,Emiliano Martínez,ar ARG,GK,Arsenal,26,1992,9,8,771,8.6,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7956236f
292,Adam Masina,ma MAR,DF,Watford,25,1994,26,20,1821,20.2,0.05,0.00,0.05,0.05,0.00,0.00,0.15,0.00,0.04,0.04,0.03,0.07,0.89,3.61,1.58,0.05,0.00,0.05,0.05,0.05,0.05,0.03,0.07,0.05,0.07,Matches,de0f152c
293,Arthur Masuaku,cd COD,DF,West Ham,25,1993,17,10,937,10.4,0.00,0.10,0.10,0.00,0.00,0.00,0.58,0.10,0.01,0.01,0.12,0.13,3.94,3.85,3.56,0.00,0.10,0.10,0.00,0.10,0.01,0.11,0.13,0.01,0.13,Matches,57df7a11
294,Juan Mata,es ESP,MFFW,Manchester Utd,31,1988,19,8,758,8.4,0.00,0.24,0.24,0.00,0.00,0.00,0.12,0.00,0.13,0.13,0.25,0.38,2.02,7.62,7.74,0.00,0.24,0.24,0.00,0.24,0.13,0.25,0.38,0.13,0.38,Matches,29733c72
295,Nemanja Matić,rs SRB,MF,Manchester Utd,30,1988,21,18,1581,17.6,0.00,0.11,0.11,0.00,0.00,0.00,0.17,0.00,0.01,0.01,0.04,0.06,2.22,6.87,0.45,0.00,0.11,0.11,0.00,0.11,0.01,0.04,0.05,0.01,0.05,Matches,eb7822d7
296,Joël Matip,cm CMR,DF,Liverpool,27,1991,9,8,703,7.8,0.13,0.00,0.13,0.13,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.05,0.77,4.62,0.26,0.13,0.00,0.13,0.13,0.13,0.04,0.00,0.05,0.04,0.05,Matches,b217ef29
297,Neal Maupay,fr FRA,FW,Brighton,22,1996,37,30,2766,30.7,0.33,0.10,0.42,0.29,0.03,0.07,0.10,0.00,0.44,0.38,0.07,0.45,2.05,2.15,8.31,0.33,0.10,0.42,0.29,0.39,0.44,0.07,0.50,0.38,0.45,Matches,4bcf39f6
298,James McArthur,sct SCO,MF,Crystal Palace,31,1987,37,37,3090,34.3,0.00,0.09,0.09,0.00,0.00,0.00,0.17,0.00,0.06,0.06,0.07,0.13,1.57,5.07,3.59,0.00,0.09,0.09,0.00,0.09,0.06,0.07,0.13,0.06,0.13,Matches,cee31595
299,Oliver McBurnie,sct SCO,FW,Sheffield Utd,23,1996,36,24,2113,23.5,0.26,0.00,0.26,0.26,0.00,0.00,0.17,0.00,0.33,0.33,0.05,0.37,1.11,2.47,4.64,0.26,0.00,0.26,0.26,0.26,0.33,0.05,0.38,0.33,0.38,Matches,78b8ac63
300,Alex McCarthy,eng ENG,GK,Southampton,29,1989,28,28,2520,28.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,36c2ca73
301,James McCarthy,ie IRL,MF,Crystal Palace,28,1990,33,16,1680,18.7,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.03,0.03,0.07,0.10,0.43,2.94,1.23,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,Matches,64b08de7
302,John McGinn,sct SCO,MF,Aston Villa,24,1994,28,27,2312,25.7,0.12,0.12,0.23,0.12,0.00,0.00,0.12,0.00,0.15,0.15,0.10,0.25,1.48,4.40,3.27,0.12,0.12,0.23,0.12,0.23,0.15,0.10,0.25,0.15,0.25,Matches,90f91999
303,David McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,28,22,1815,20.2,0.10,0.10,0.20,0.10,0.00,0.00,0.10,0.00,0.40,0.40,0.11,0.51,1.44,2.13,6.39,0.10,0.10,0.20,0.10,0.20,0.40,0.12,0.51,0.40,0.51,Matches,dbe56a33
304,Michael McGovern,nir NIR,GK,Norwich City,35,1984,2,1,159,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,51a19d04
305,Kenny McLean,sct SCO,MF,Norwich City,27,1992,37,32,2968,33.0,0.03,0.03,0.06,0.03,0.00,0.00,0.15,0.00,0.04,0.04,0.08,0.12,1.39,5.24,2.21,0.03,0.03,0.06,0.03,0.06,0.04,0.08,0.12,0.04,0.12,Matches,471f16b3
306,Dwight McNeil,eng ENG,MF,Burnley,19,1999,38,38,3338,37.1,0.05,0.16,0.22,0.05,0.00,0.00,0.13,0.00,0.06,0.06,0.21,0.27,3.94,2.61,2.94,0.05,0.16,0.22,0.05,0.22,0.06,0.21,0.27,0.06,0.27,Matches,fc15fb84
307,Scott McTominay,sct SCO,MF,Manchester Utd,22,1996,27,20,1772,19.7,0.20,0.05,0.25,0.20,0.00,0.00,0.10,0.00,0.11,0.11,0.05,0.16,1.27,4.82,1.37,0.20,0.05,0.25,0.20,0.25,0.11,0.05,0.16,0.11,0.16,Matches,d93c2511
308,Ben Mee,eng ENG,DF,Burnley,29,1989,32,32,2880,32.0,0.03,0.03,0.06,0.03,0.00,0.00,0.22,0.00,0.05,0.05,0.05,0.10,0.16,1.75,0.16,0.03,0.03,0.06,0.03,0.06,0.05,0.05,0.10,0.05,0.10,Matches,8df7a2fb
309,Benjamin Mendy,fr FRA,DF,Manchester City,25,1994,19,18,1492,16.6,0.00,0.12,0.12,0.00,0.00,0.00,0.18,0.00,0.02,0.02,0.08,0.11,3.61,5.24,10.6,0.00,0.12,0.12,0.00,0.12,0.02,0.09,0.11,0.02,0.11,Matches,5271c8f1
310,Nampalys Mendy,sn SEN,MF,Leicester City,27,1992,7,4,291,3.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.31,4.06,1.88,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,1598599e
311,Chris Mepham,wls WAL,DF,Bournemouth,21,1997,12,10,912,10.1,0.10,0.00,0.10,0.10,0.00,0.00,0.10,0.00,0.09,0.09,0.01,0.10,0.40,2.77,0.30,0.10,0.00,0.10,0.10,0.10,0.09,0.01,0.10,0.09,0.10,Matches,fed96827
312,Max Meyer,de GER,MFFW,Crystal Palace,23,1995,17,6,655,7.3,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.07,0.07,0.03,0.10,1.23,2.19,4.38,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,Matches,eba42d2b
313,Luka Milivojević,rs SRB,MF,Crystal Palace,28,1991,31,28,2513,27.9,0.11,0.04,0.14,0.04,0.07,0.07,0.43,0.00,0.10,0.04,0.08,0.12,0.25,4.55,0.39,0.11,0.04,0.14,0.04,0.07,0.10,0.08,0.17,0.04,0.12,Matches,2ce2508a
314,James Milner,eng ENG,MFDF,Liverpool,33,1986,22,9,937,10.4,0.19,0.19,0.38,0.00,0.19,0.19,0.38,0.00,0.21,0.06,0.07,0.13,1.73,6.83,4.04,0.19,0.19,0.38,0.00,0.19,0.21,0.07,0.28,0.06,0.13,Matches,2f90f6b8
315,Yerry Mina,co COL,DF,Everton,24,1994,29,25,2284,25.4,0.08,0.04,0.12,0.08,0.00,0.00,0.12,0.00,0.13,0.13,0.06,0.19,0.43,3.27,0.16,0.08,0.04,0.12,0.08,0.12,0.13,0.05,0.19,0.13,0.19,Matches,6d5701f2
316,Takumi Minamino,jp JPN,FWMF,Liverpool,24,1995,10,2,249,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.32,2.86,1.43,7.86,0.00,0.00,0.00,0.00,0.00,0.30,0.01,0.31,0.30,0.31,Matches,f833a830
317,Tyrone Mings,eng ENG,DF,Aston Villa,26,1993,33,33,2902,32.2,0.06,0.06,0.12,0.06,0.00,0.00,0.22,0.00,0.02,0.02,0.02,0.05,0.37,1.86,0.34,0.06,0.06,0.12,0.06,0.12,0.02,0.02,0.05,0.02,0.05,Matches,8397a50c
318,Tyrick Mitchell,eng ENG,DF,Crystal Palace,19,1999,4,2,195,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.09,0.09,2.27,5.45,3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches,5cbd1eb0
319,Henrikh Mkhitaryan,am ARM,FW,Arsenal,30,1989,3,1,112,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.25,0.25,0.25,0.50,2.50,6.67,15.8,0.00,0.00,0.00,0.00,0.00,0.26,0.21,0.47,0.26,0.47,Matches,dd0daf32
320,Nacho Monreal,es ESP,DF,Arsenal,33,1986,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.13,1.33,4.00,4.67,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.13,0.01,0.13,Matches,d4cb83cc
321,Martín Montoya,es ESP,DFMF,Brighton,28,1991,27,23,1896,21.1,0.00,0.05,0.05,0.00,0.00,0.00,0.24,0.00,0.07,0.07,0.09,0.16,2.70,4.31,5.55,0.00,0.05,0.05,0.00,0.05,0.07,0.09,0.16,0.07,0.16,Matches,5cec2487
322,Simon Moore,eng ENG,GK,Sheffield Utd,29,1990,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e7434f04
323,Aaron Mooy,au AUS,MFFW,Brighton,28,1990,31,25,2085,23.2,0.09,0.09,0.17,0.09,0.00,0.00,0.13,0.04,0.10,0.10,0.19,0.29,3.06,6.81,5.82,0.09,0.09,0.17,0.09,0.17,0.10,0.19,0.29,0.10,0.29,Matches,47b7e3af
324,Wesley Moraes,br BRA,FW,Aston Villa,22,1996,21,21,1782,19.8,0.25,0.05,0.30,0.25,0.00,0.05,0.15,0.00,0.32,0.28,0.05,0.33,0.66,1.06,4.49,0.25,0.05,0.30,0.25,0.30,0.32,0.05,0.37,0.28,0.33,Matches,bfae110f
325,Wes Morgan,jm JAM,DF,Leicester City,35,1984,11,4,436,4.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,0.21,0.63,0.21,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches,80c31c97
326,Ravel Morrison,jm JAM,MF,Sheffield Utd,26,1993,1,0,13,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34,Matches,bf59c794
327,Mason Mount,eng ENG,MFFW,Chelsea,20,1999,37,32,2867,31.9,0.22,0.16,0.38,0.22,0.00,0.00,0.09,0.00,0.20,0.20,0.17,0.37,3.17,4.33,6.93,0.22,0.16,0.38,0.22,0.38,0.20,0.17,0.37,0.20,0.37,Matches,9674002f
328,Lucas Moura,br BRA,FWMF,Tottenham,26,1992,35,25,2242,24.9,0.16,0.16,0.32,0.16,0.00,0.00,0.12,0.00,0.22,0.22,0.13,0.35,3.17,2.77,5.62,0.16,0.16,0.32,0.16,0.32,0.23,0.13,0.36,0.23,0.36,Matches,2b622f01
329,Lys Mousset,fr FRA,FW,Sheffield Utd,23,1996,30,11,1240,13.8,0.43,0.29,0.72,0.43,0.00,0.00,0.07,0.00,0.40,0.40,0.23,0.64,2.17,0.94,6.74,0.44,0.29,0.73,0.44,0.73,0.40,0.23,0.64,0.40,0.64,Matches,d9cfca3d
330,João Moutinho,pt POR,MF,Wolves,32,1986,38,34,3108,34.5,0.03,0.17,0.20,0.03,0.00,0.00,0.20,0.00,0.03,0.03,0.23,0.26,1.10,6.26,1.48,0.03,0.17,0.20,0.03,0.20,0.03,0.23,0.26,0.03,0.26,Matches,f5a00fa4
331,Glenn Murray,eng ENG,FW,Brighton,35,1983,23,7,797,8.9,0.11,0.11,0.22,0.11,0.00,0.00,0.00,0.00,0.27,0.27,0.08,0.35,0.67,1.69,7.42,0.11,0.11,0.23,0.11,0.23,0.27,0.08,0.35,0.27,0.35,Matches,f2f29dda
332,Shkodran Mustafi,de GER,DF,Arsenal,27,1992,15,13,1207,13.4,0.00,0.07,0.07,0.00,0.00,0.00,0.15,0.00,0.07,0.07,0.03,0.10,0.52,4.55,0.45,0.00,0.07,0.07,0.00,0.07,0.07,0.03,0.10,0.07,0.10,Matches,3f2d59fe
333,Yoshinori Mutō,jp JPN,MFFW,Newcastle Utd,27,1992,8,2,212,2.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,1.67,2.08,4.17,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,5343eb4e
334,Georges-Kévin N'Koudou,cm CMR,FW,Tottenham,24,1995,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,1.15,0.00,1.15,1.15,1.15,Matches,76c131da
335,Marvelous Nakamba,zw ZIM,MF,Aston Villa,25,1994,29,19,1836,20.4,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.01,0.01,0.02,0.03,0.49,2.79,0.39,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,Matches,de5b5570
336,Wilfred Ndidi,ng NGA,MF,Leicester City,22,1996,32,29,2674,29.7,0.07,0.03,0.10,0.07,0.00,0.00,0.20,0.00,0.05,0.05,0.02,0.07,0.44,3.67,0.64,0.07,0.03,0.10,0.07,0.10,0.06,0.02,0.08,0.06,0.08,Matches,6b47c5db
337,Tanguy Ndombele,fr FRA,MF,Tottenham,22,1996,21,12,1009,11.2,0.18,0.18,0.36,0.18,0.00,0.00,0.27,0.00,0.04,0.04,0.06,0.10,1.96,6.88,2.95,0.18,0.18,0.36,0.18,0.36,0.03,0.07,0.10,0.03,0.10,Matches,5cdddffa
338,Reiss Nelson,eng ENG,FW,Arsenal,19,1999,17,7,631,7.0,0.14,0.00,0.14,0.14,0.00,0.00,0.14,0.00,0.13,0.13,0.06,0.19,4.29,2.86,8.29,0.14,0.00,0.14,0.14,0.14,0.13,0.06,0.19,0.13,0.19,Matches,c5bdb6e3
339,Pedro Neto,pt POR,FWMF,Wolves,19,2000,29,9,939,10.4,0.29,0.29,0.58,0.29,0.00,0.00,0.29,0.00,0.21,0.21,0.25,0.46,5.10,2.21,9.71,0.29,0.29,0.58,0.29,0.58,0.21,0.25,0.46,0.21,0.46,Matches,7ba2eaa9
340,Rúben Neves,pt POR,MF,Wolves,22,1997,38,35,3056,34.0,0.06,0.06,0.12,0.06,0.00,0.00,0.26,0.00,0.06,0.06,0.06,0.12,0.56,6.35,0.68,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.12,0.06,0.12,Matches,44bfb6c5
341,Jeremy Ngakia,eng ENG,DF,West Ham,18,2000,5,5,440,4.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.04,0.82,1.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3631ad41
342,Oumar Niasse,sn SEN,FW,Everton,29,1990,3,0,22,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,af721f98
343,Eddie Nketiah,eng ENG,FW,Arsenal,20,1999,13,7,633,7.0,0.29,0.00,0.29,0.29,0.00,0.00,0.00,0.14,0.44,0.44,0.09,0.53,2.71,2.29,5.43,0.28,0.00,0.28,0.28,0.28,0.45,0.08,0.53,0.45,0.53,Matches,a53649b7
344,Mark Noble,eng ENG,MF,West Ham,32,1987,33,32,2674,29.7,0.13,0.10,0.24,0.03,0.10,0.10,0.17,0.00,0.10,0.02,0.10,0.12,0.88,6.67,1.78,0.13,0.10,0.24,0.03,0.13,0.10,0.10,0.20,0.02,0.12,Matches,ff527768
